,text,sentence,word,wordFreq,zipfFreq,surpGPT,word_length,wordId
4443,text_12_L1,4,die,0.0302,7.48,1.9187896251678467,3,70
4444,text_12_L1,4,Organisation,6.03e-05,4.78,7.405479431152344,12,71
4445,text_12_L1,4,ihren,0.00055,5.74,6.777742862701416,5,72
4446,text_12_L1,4,Fokus,2.29e-05,4.36,2.711369514465332,5,73
4447,text_12_L1,4,über,0.00245,6.39,6.380093097686768,4,74
4448,text_12_L1,4,die,0.0302,7.48,0.7309685945510864,3,75
4449,text_12_L1,4,Umweltschutzökologie,0.0,0.0,21.591564178466797,20,76
4450,text_12_L1,4,hinaus,0.000115,5.06,10.879711151123047,6,77
4451,text_12_L1,4,erweitert,2.51e-05,4.4,0.148176908493042,9,78
4452,text_12_L1,4,und,0.0263,7.42,0.6224179863929749,3,79
4453,text_12_L1,4,bezieht,2.88e-05,4.46,2.180624008178711,7,80
4454,text_12_L1,4,nun,0.000759,5.88,1.207463026046753,3,81
4455,text_12_L1,4,Fragen,0.000295,5.47,5.292261123657227,6,82
4456,text_12_L1,4,der,0.0288,7.46,0.7103155851364136,3,83
4457,text_12_L1,4,nachhaltigen,4.17e-06,3.62,6.727634906768799,12,84
4458,text_12_L1,4,Entwicklung,0.000151,5.18,0.7100136280059814,11,85
4459,text_12_L1,4,in,0.0174,7.24,8.761498611420393e-05,2,86
4460,text_12_L1,4,ihre,0.00115,6.06,0.00010179955279454589,4,87
4461,text_12_L1,4,Projekte,3.72e-05,4.57,0.00011252723925281316,8,88
4462,text_12_L1,4,ein.,0.00813,6.91,0.6337471604347229,4,89
4463,text_12_L1,5,Im,0.00724,6.86,4.428861141204834,2,90
4464,text_12_L1,5,Gegensatz,5.89e-05,4.77,4.2525177001953125,9,91
4465,text_12_L1,5,zu,0.0102,7.01,0.6266803741455078,2,92
4466,text_12_L1,5,vielen,0.000331,5.52,2.465806722640991,6,93
4467,text_12_L1,5,anderen,0.000692,5.84,0.3537992835044861,7,94
4468,text_12_L1,5,internationalen,6.92e-05,4.84,6.726283550262451,15,95
4469,text_12_L1,5,Umweltorganisationen,2.45e-07,2.39,8.961677551269531,20,96
4470,text_12_L1,5,ist,0.012,7.08,1.204190969467163,3,97
